track_name,track_artist,track_album_release_date,playlist_genre
No Sleep (feat. Bonn),Martin Garrix,2/21/19,pop
Feel Good (feat. Daya),Gryffin,3/3/17,pop
Endless Summer,Cashae,7/12/19,pop
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,10/25/19,pop
Think About You,Kygo,2/14/19,pop
Party For One,Carly Rae Jepsen,5/17/19,pop
Ritual,Tiësto,5/31/19,pop
Electricity (with Dua Lipa),Silk City,9/6/18,pop
Lie,Shallou,1/25/18,pop
I Found You (with Calvin Harris),benny blanco,12/7/18,pop
Now That I Found You,Carly Rae Jepsen,2/27/19,pop
All Comes Back To You,R3HAB,10/25/19,pop
Need U,DVBBS,8/16/19,pop
First Love,Lost Kings,10/13/17,pop
Something Real,Armin van Buuren,7/12/19,pop
TIME,Alesso,3/8/19,pop
Something About You (with Rudimental),Elderbrook,8/9/19,pop
Home (feat. Bonn),Martin Garrix,8/16/19,pop
Simple (STVW Remix),FANNYPACK,4/12/19,pop
Sorry,Joel Corry,4/5/19,pop
Spicy (with Diplo & Charli XCX),Herve Pagez,5/30/19,pop
The Upside (feat. Elle King),Lindsey Stirling,8/2/19,pop
Stay,Zedd,2/23/17,pop
Million Voices,Armin van Buuren,10/25/19,pop
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9/28/18,pop
Closer (feat. Halsey),The Chainsmokers,7/29/16,pop
Say My Name (feat. Zyra) - RAC Mix,ODESZA,10/13/14,pop
Clarity,Zedd,1/1/12,pop
Solo (feat. Demi Lovato),Clean Bandit,5/17/18,pop
Scared to Be Lonely,Martin Garrix,1/27/17,pop
Friends (with BloodPop®),Justin Bieber,8/17/17,pop
RITMO (Bad Boys For Life),The Black Eyed Peas,10/12/19,pop
Promises (with Sam Smith),Calvin Harris,8/17/18,pop
Turn Me On (feat. Vula),Riton,9/13/19,pop
Light,San Holo,2/10/17,pop
2U,David Guetta,6/9/17,pop
Something Just Like This,The Chainsmokers,4/7/17,pop
One Kiss (with Dua Lipa),Calvin Harris,4/6/18,pop
Heroes (we could be),Alesso,5/26/15,pop
It Ain’t Me (with Selena Gomez),Kygo,2/17/17,pop
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,1/1/12,pop
Let Me Love You,DJ Snake,8/5/16,pop
Roses,The Chainsmokers,6/16/15,pop
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,2012,pop
Latch,Disclosure,1/1/13,pop
Flames,David Guetta,9/14/18,pop
Sorry,Justin Bieber,11/13/15,pop
This Is What You Came For,Calvin Harris,4/29/16,pop
Wake Me Up,Avicii,1/1/13,pop
In My Mind,Dynoro,6/8/18,pop
Titanium (feat. Sia),David Guetta,8/26/11,pop
Where Are Ü Now,Skrillex,11/13/15,pop
Firework,Katy Perry,1/1/10,pop
Mi Gente (feat. Beyoncé),J Balvin,9/28/17,pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,1/1/12,pop
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,9/23/16,pop
Anything Could Happen,Ellie Goulding,1/1/12,pop
Poker Face,Lady Gaga,1/1/08,pop
How Deep Is Your Love,Calvin Harris,7/17/15,pop
In Your Eyes (feat. Alida),Robin Schulz,1/10/20,pop
Wish You Well (with Sigala),Sigala,9/27/19,pop
With You - LöKii Remix,Kaskade,9/12/19,pop
Dive,Hot Shade,12/20/19,pop
No Goodbye,Paul Kalkbrenner,7/26/19,pop
Work,MOTi,1/25/19,pop
Instagram,Dimitri Vegas & Like Mike,7/5/19,pop
Better Off Without You (feat. Shift K3Y),Becky Hill,1/10/20,pop
Butterfly,Molella,6/21/19,pop
All The Love You Got,MOTi,12/20/19,pop
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,7/19/19,pop
Love Is Not Enough,GATTÜSO,12/19/19,pop
Lose Control,MEDUZA,10/11/19,pop
I Wanna Dance,Jonas Blue,7/19/19,pop
After The Landslide - Club Remix,Matt Simons,9/19/19,pop
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,8/29/19,pop
Pon de Replay,Ed Marquis,4/28/17,pop
So Close,NOTD,11/2/18,pop
Look Into My Eyes,Brando,1/10/20,pop
Not in Control,Glaceo,12/20/19,pop
BLUE,Tiësto,12/13/19,pop
Don't Waste My Time,Kharfi,11/8/19,pop
Beat Of My Heart,Lost Frequencies,10/4/19,pop
Don't Start Now - Kungs Remix,Dua Lipa,12/18/19,pop
Drunken Truth,Steve Void,12/20/19,pop
Jacques,Jax Jones,8/28/19,pop
Something Real,Armin van Buuren,10/25/19,pop
Stay (Don't Go Away) [feat. Raye],David Guetta,5/9/19,pop
Solid Gold,PNAU,5/2/19,pop
One Life,Mike Perry,9/27/19,pop
All ‘Bout The Money,FAULHABER,10/18/19,pop
Never Letting Go,Audien,11/9/18,pop
Used To Love (with Dean Lewis),Martin Garrix,10/31/19,pop
Giulia,Prince Paris,11/29/19,pop
What Do I Do? - Benny Benassi Remix,Georgia Ku,10/18/19,pop
Dreams Of You (feat. Rae Morris),Icarus,10/4/19,pop
I Will Let You Down (feat. KLARA),Madison Mars,12/6/19,pop
Carillon (with Achille Lauro),Nahaze,12/11/19,pop
La Vie - Gabry Ponte Mix,DJ Ross,11/15/19,pop
Lullaby,R3HAB,1/26/18,pop
Say It,Phantoms,7/19/19,pop
All This Time,Deorro,7/12/19,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,10/24/19,pop
Acordeão,Tiësto,8/8/19,pop
My Friend,Yves V,5/31/19,pop
On & On,Alok,11/22/19,pop
Juliet & Romeo,Martin Solveig,12/6/19,pop
All Around The World (La La La),R3HAB,4/5/19,pop
Are You Lonely (feat. ISÁK),Steve Aoki,2/22/19,pop
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,3/1/19,pop
Close Your Eyes,Felix Jaehn,11/22/19,pop
Buzzing (with Nevve),Audien,11/8/19,pop
Never Be Alone (feat. Aloe Blacc),David Guetta,7/26/19,pop
Roses - Imanbek Remix,SAINt JHN,9/13/19,pop
Insane,Ofenbach,11/15/19,pop
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,1/3/20,pop
Only Want You - Sam Feldt Remix,Rita Ora,4/5/19,pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,2/1/19,pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,5/2/19,pop
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,9/27/19,pop
Not Ok - Frank Walker Remix,Kygo,7/5/19,pop
Heaven (feat. Veronica),Dzeko,1/4/19,pop
Sixteen - Don Diablo Remix,Ellie Goulding,5/10/19,pop
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,5/10/19,pop
Brave,Don Diablo,4/26/19,pop
Let It Be Me,Steve Aoki,9/6/19,pop
Carry On - Nicky Romero Remix,Kygo,5/30/19,pop
Magnets (feat. Sophie Simmons),Sam Feldt,5/10/19,pop
Don't Give Up On Me,Andy Grammer,4/12/19,pop
Found Love (feat. Lovespeake),MOTi,2/15/19,pop
These Are The Times (feat. JRM),Martin Garrix,7/18/19,pop
Wherever You Go,Jonas Blue,11/9/18,pop
Happy Now,Kygo,10/26/18,pop
Roots,Valerie Broussard,8/16/19,pop
Talk - Alle Farben Remix,Khalid,4/4/19,pop
All The Lies - Toby Romeo Remix / Radio Edit,Alok,7/19/19,pop
High Hopes - Don Diablo Remix,Panic! At The Disco,1/11/19,pop
Summer Air (feat. Trevor Guthrie),Hardwell,5/31/19,pop
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,6/28/19,pop
Bruises - Steve Void Remix,Lewis Capaldi,9/27/19,pop
Insomnia - King Arthur Remix,Daya,5/17/19,pop
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,4/24/19,pop
I Miss Myself - R3HAB Remix,NOTD,6/7/19,pop
8 Letters - R3HAB Remix,Why Don't We,9/28/18,pop
You Deserve Better - Andrelli Remix,James Arthur,6/29/18,pop
Remember (with ZOHARA),Gryffin,10/26/18,pop
REMEDY,Alesso,8/31/18,pop
Leave,Borgeous,1/25/19,pop
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,3/8/19,pop
I'm Not Sorry,Hardwell,3/8/19,pop
Tequila - Robin Schulz Remix,Dan + Shay,3/21/19,pop
Happier - Frank Walker Remix,Marshmello,10/19/18,pop
Sing It With Me - Embody Remix,JP Cooper,6/21/19,pop
Thursday - Nicky Romero Remix,Jess Glynne,12/7/18,pop
Better When You're Gone,David Guetta,2/8/19,pop
Wish You Well,Sigala,5/24/19,pop
Only When It Rains,Frank Walker,3/29/19,pop
Mad Love - Blinkie Remix,Mabel,7/5/19,pop
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,8/16/18,pop
Better Day (feat. Aloe Blacc),Young Bombs,11/1/19,pop
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,8/2/19,pop
Discovery,Syn Cole,5/31/19,pop
With You - Frank Walker Remix,Tyler Shaw,2/1/19,pop
2 Hearts (feat. Gia Koka),Sam Feldt,1/10/20,pop
Love You Forever,Nicky Romero,6/21/19,pop
Post Malone (feat. RANI),Sam Feldt,8/16/19,pop
Thorns,Faustix,3/29/19,pop
Shotgun (The Wild Remix),George Ezra,6/15/18,pop
True Colors (feat. Maya Avedis),XO Cupid,9/21/18,pop
Crying In The Sun,Faustix,11/23/18,pop
Need You,Faustix,7/26/19,pop
Sweet Dreams (Are Made of This),Winati,6/21/19,pop
Million Lights,Tungevaag & Raaban,3/22/19,pop
Dancing in the Moonlight,Jubël,6/22/18,pop
Heaven,Avicii,6/6/19,pop
Forever Young,John De Sohn,7/27/18,pop
eoh,Olympis,8/16/19,pop
Nobody,Martin Jensen,3/1/19,pop
All Day And Night,Jax Jones,7/12/19,pop
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,11/1/18,pop
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,6/22/18,pop
All For Love,Tungevaag & Raaban,3/23/18,pop
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,3/29/19,pop
One Touch,Jess Glynne,10/12/18,pop
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,8/30/19,pop
Be Your Friend‬‬,Vigiland,3/2/18,pop
Happier - Breathe Carolina Remix,Marshmello,10/19/18,pop
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,5/2/19,pop
Just Got Paid,Sigala,9/28/18,pop
No One - Jonas Blue Remix,Jess Glynne,3/15/19,pop
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,3/22/19,pop
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,2/1/19,pop
Darkside,Alan Walker,12/14/18,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,4/25/19,pop
Body (feat. brando),Loud Luxury,10/27/17,pop
Who's Got Your Love,Cheat Codes,3/15/19,pop
Never Go Back - Robin Schulz Remix,Dennis Lloyd,6/7/19,pop
Pumped Up,Klingande,9/8/17,pop
California,Hot Shade,5/4/18,pop
Solo Dance,Martin Jensen,11/4/16,pop
Replay,Davai,8/25/17,pop
Think About You - Galantis Remix,Kygo,4/12/19,pop
Love No More,Loud Luxury,8/31/18,pop
All Falls Down (feat. Juliander),Alan Walker,12/14/18,pop
Lonely Together (feat. Rita Ora),Avicii,11/23/18,pop
Remind Me to Forget,Kygo,11/3/17,pop
Next To Me,Axel Johansson,4/20/18,pop
Giant (with Rag'n'Bone Man),Calvin Harris,1/11/19,pop
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,6/1/18,pop
Hum With Me,John De Sohn,6/9/17,pop
Without You (feat. Sandro Cavazza),Avicii,8/10/17,pop
Call On Me - Ryan Riback Remix,Starley,10/7/16,pop
Sad (feat. Afrojack),Chico Rose,8/30/19,pop
Stargazing,Kygo,9/21/17,pop
Symphony (feat. Zara Larsson),Clean Bandit,11/30/18,pop
Stay Young,Mike Perry,9/1/17,pop
More Than You Know,Axwell /\ Ingrosso,5/24/17,pop
Why Boy,Steff da Campo,6/7/19,pop
The Nights,Avicii,1/1/14,pop
Rich Love (with Seeb),OneRepublic,7/14/17,pop
Mama,Jonas Blue,11/9/18,pop
Feel Good,Felix Jaehn,2/16/18,pop
IDGAF - Hazers Remix,Dua Lipa,2/23/18,pop
Breathe (feat. Ina Wroldsen),Jax Jones,7/12/19,pop
Rockstar,Ilkay Sencan,6/21/19,pop
Jackie Chan,Tiësto,5/18/18,pop
Moonlight,Gaullin,9/7/18,pop
All I Wanna Do,Martin Jensen,4/8/16,pop
Sweet but Psycho,Ava Max,8/17/18,pop
Melody - ANGEMI Remix,Lost Frequencies,6/15/18,pop
High On Life (feat. Bonn),Martin Garrix,7/29/18,pop
So Am I,Ava Max,3/7/19,pop
I Know You - Vigiland Remix,Craig David,2/9/18,pop
Through To You,Lyente,4/17/18,pop
Burn Out (feat. Dewain Whitmore),Martin Garrix,9/14/18,pop
Penny,Dimitri Vangelis & Wyman,3/29/19,pop
Wait For Me,Steve Brian,10/12/18,pop
bad guy,Billie Eilish,3/29/19,pop
Daylight (Airbeat One Anthem 2018),Fluex,6/22/18,pop
Imagine,Rob Tirea,4/13/18,pop
Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,11/30/18,pop
Glitch,Martin Garrix,12/14/18,pop
Brand New (Helium),Lvly,4/13/18,pop
Shades Of Voices (Original Mix),PULLER,1/23/17,pop
In Time,CAZZETTE,10/12/18,pop
Halfway There (feat. Lena Leon),Tiësto,3/15/19,pop
Spirit Of Freedom,Dropgun,1/25/19,pop
Mama Look at Me Now,Galantis,7/13/18,pop
Toxic Rain - No Class Remix,Alicia Madison,5/11/18,pop
The Beat,Mike Williams,7/23/18,pop
Wild Wild Son,Armin van Buuren,10/12/18,pop
Waiting For Love,Avicii,10/2/15,pop
Shelter (Mix Cut) - Yoel Lewis Remix,Dash Berlin,4/20/18,pop
Like I Do,David Guetta,2/22/18,pop
Skyline,Catiso,2/23/18,pop
Callin' - Extended Mix,Lush & Simon,6/1/18,pop
Roads,Vargas & Lagola,2/9/18,pop
Jackie Chan,Tiësto,5/18/18,pop
Came Here for Love,Sigala,6/9/17,pop
Kids in Love - Don Diablo Remix,Kygo,5/11/18,pop
Let You Down - Chris Royal Remix,Bombs Away,4/16/18,pop
Mercury,Catiso,2/23/18,pop
Different Place,STVCKS,3/2/18,pop
One Last Time,Ariana Grande,8/22/14,pop
I Feel The Love,Tritonal,9/9/16,pop
No Brainer,DJ Khaled,7/27/18,pop
Sun Is Shining,Axwell /\ Ingrosso,7/28/17,pop
Breathe,Jax Jones,12/1/17,pop
In the Name of Love,Martin Garrix,7/29/16,pop
Pure Gold,oomiee,9/1/17,pop
Turning Up,ARASHI,11/3/19,pop
Winter Hitori feat. ASOBOiSM,Shinn Yamada,12/11/19,pop
9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,1/14/20,pop
Nobody Knows,Hiroomi Tosaka,1/8/20,pop
One in a Million -奇跡の夜に-,GENERATIONS from EXILE TRIBE,11/21/19,pop
別世界,E-girls,1/29/20,pop
Gimme GImme,iamSHUM,12/11/19,pop
御伽の街,DAOKO,1/15/20,pop
ボイスメモ No. 5,CHANMINA,1/17/20,pop
Now & Forever (feat. SONPUB & 向井太一),香取慎吾,1/1/20,pop
Make A Move - Pt. 2,EMMA WAHLIN,1/17/20,pop
光線,Ghost like girlfriend,1/15/20,pop
ZONE OF GOLD,Ryuji Imaichi,1/15/20,pop
LOVE + PARTY,CREAM,12/25/19,pop
WAKE ME UP,THE RAMPAGE from EXILE TRIBE,1/15/20,pop
New Page,INTERSECTION,1/8/20,pop
Easy Breezy,chelmico,1/17/20,pop
TOTSUKA feat. サイプレス上野,ASOBOiSM,1/17/20,pop
taste,FlowBack,12/11/19,pop
I don’t wanna do,SARM,1/12/20,pop
A-RA-SHI:Reborn,ARASHI,12/20/19,pop
Light,SIRUP,11/22/19,pop
Night Ship,Yo-Sea,1/15/20,pop
Fly me 2,eill,11/6/19,pop
Not Enough,Rei Yasuda,11/27/19,pop
COLORLESS,Daichi Miura,12/4/19,pop
New Shoes - feat.Shun Murakami,phai,1/15/20,pop
MarudeSaturday Night,BABY-T,12/2/19,pop
FUTARI x PARTY,CREAM,11/27/19,pop
SUPERSTAR,真之介,1/8/20,pop
Be on the Stage,KEITA,12/18/19,pop
space shuttle,空音,11/20/19,pop
Amazing!,Sakurako Ohara,1/15/20,pop
TO-KE-TE,HAN-KUN,12/16/19,pop
JAM fo'freedom (SASUKE Remix),RUN THE FLOOR,1/15/20,pop
You're the Reason - English ver.,INTERSECTION,12/25/19,pop
Made In JPN,DEAN FUJIOKA,12/11/19,pop
See You Later,Chocoholic,11/20/19,pop
Possible,片寄涼太,1/7/20,pop
All Over You,Boys Get Hurt,12/23/19,pop
Where Would You Go?,SkyLogic,12/14/19,pop
Call My Name - Remix,YUTO,10/26/19,pop
DAYZ,AAAMYYY,11/13/19,pop
Simple Things,HarukiD,1/12/20,pop
SUN DAY - Shinichi Osawa Remix,HIRAIDAI,11/17/19,pop
SPOTLIGHT,eill,11/6/19,pop
let me know,blanchehor,11/9/19,pop
Y.E.S,KEITA,11/20/19,pop
Rich&Famous - feat. Sean Paul,Kumi Koda,11/13/19,pop
ミズノナカヘ - Car TAX remix,yu-re:meu,1/11/20,pop
EASY LOVE,Gear 2nd,10/30/19,pop
PARADE,Miliyah,10/26/19,pop
Obsession,広瀬大地,10/23/19,pop
Shine,DJ PIGER,10/16/19,pop
Upside Down,RYPPHYPE,11/20/19,pop
B.S.G.S.,sooogood!,11/20/19,pop
Bitten By You,Monkey Majik,10/23/19,pop
For Me,WAPLAN,10/30/19,pop
Sway,AATA,12/11/19,pop
Nobody,Beverly,12/4/19,pop
Adios,EVERGLOW,8/19/19,pop
Dumb,BVNDIT,11/5/19,pop
THURSDAY,GOT7,11/4/19,pop
Snapping,CHUNG HA,6/24/19,pop
WONDERLAND,ATEEZ,10/8/19,pop
DDU-DU DDU-DU,BLACKPINK,6/15/18,pop
Like always,X1,8/27/19,pop
Answer,ATEEZ,1/6/20,pop
피카부 Peek-A-Boo,Red Velvet,11/17/17,pop
DRIP,HINAPIA,11/3/19,pop
Jopping,SuperM,10/4/19,pop
HIP,Mamamoo,11/14/19,pop
BBoom BBoom,MOMOLAND,1/3/18,pop
Dumb Litty,KARD,9/22/19,pop
POP/STARS,K/DA,11/3/18,pop
MIDDLE OF THE NIGHT,Monsta X,12/6/19,pop
Boy With Luv (feat. Halsey),BTS,4/12/19,pop
Bon Bon Chocolat,EVERGLOW,3/18/19,pop
gogobebe,Mamamoo,3/14/19,pop
IDOL,BTS,8/24/18,pop
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,11/24/17,pop
KILLING ME,iKON,8/2/18,pop
As If It's Your Last,BLACKPINK,6/22/17,pop
MIROH,Stray Kids,3/25/19,pop
Forever Love,YOUNGJAE,10/22/19,pop
BOSS,NCT,3/14/18,pop
Forever Young,BLACKPINK,6/15/18,pop
Egotistic,Mamamoo,7/16/18,pop
Bomb Bomb,KARD,3/27/19,pop
DNA,BTS,9/18/17,pop
Roller Coaster,CHUNG HA,1/18/18,pop
YES or YES,TWICE,11/5/18,pop
FLASH,X1,8/27/19,pop
HANN (Alone),(G)I-DLE,8/14/18,pop
하드캐리 Hard Carry,GOT7,9/27/16,pop
ME,CLC,5/30/19,pop
BAAM,MOMOLAND,6/26/18,pop
DDD,EXID,11/8/17,pop
Starry Night,Mamamoo,3/7/18,pop
Siren,SUNMI,9/26/18,pop
HIT,SEVENTEEN,8/5/19,pop
Heroine,SUNMI,1/18/18,pop
Way Back Home,SHAUN,6/27/18,pop
I’m So Hot,MOMOLAND,3/20/19,pop
Me & You,EXID,5/15/19,pop
No,CLC,1/30/19,pop
PICK ME,PRODUCE 48,5/10/18,pop
WANT,TAEMIN,2/11/19,pop
Fever,GFRIEND,7/1/19,pop
Room Shaker,Ailee,7/2/19,pop
Power Up,Red Velvet,8/6/18,pop
LALALAY 날라리,SUNMI,8/27/19,pop
8282(Party),twlv,8/4/19,pop
D.D.D,THE BOYZ,8/19/19,pop
Not That Type,gugudan,11/6/18,pop
Humph!,PENTAGON,7/17/19,pop
Play It Cool,Monsta X,2/18/19,pop
